"date","title","text","meaning_en","meaning_hi","part_of_speech","pronunciation_ipa","pronunciation_devanagari","synonyms","antonyms","examples_json"
"07/02/2026","Capricious","Capricious","given to sudden and unaccountable changes of mood","मनमौजी / अस्थिर","adjective","/kəˈprɪʃəs/","/कपformलिशस/","unpredictable, fickle","stable, consistent","[{""en"":""The weather here is capricious."",""hi"":""यहाँ का मौसम मनमौजी है।""}]"
"07/03/2026","Diligent","Diligent","showing care and conscientiousness in one's work","परिश्रमी / मेहनती","adjective","/ˈdɪlɪdʒənt/","/ˈडिलिजन्ट/","hardworking, assiduous","lazy, negligent","[{""en"":""She is a diligent student."",""hi"":""वह एक परिश्रमी छात्रा है।""}]"
"07/04/2026","Enigma","Enigma","a person or thing that is mysterious or difficult to understand","पहेली / रहस्य","noun","/ɪˈnɪɡmə/","/इनिग्मा/","mystery, puzzle","clarity, known","[{""en"":""His disappearance remains an enigma."",""hi"":""उसका गायब होना एक पहेली बना हुआ है।""}]"
"07/05/2026","Frugal","Frugal","sparing or economical with regard to money or food","मितव्ययी / कंजूस","adjective","/ˈfruːɡəl/","/ˈफ्रूगल/","economical, thrifty","extravagant, wasteful","[{""en"":""They led a frugal life."",""hi"":""उन्होंने एक मितव्ययी जीवन जिया।""}]"
"07/06/2026","Garrulous","Garrulous","excessively talkative, especially on trivial matters","बातूनी","adjective","/ˈɡærələs/","/ˈगैरलस/","talkative, chatty","taciturn, quiet","[{""en"":""He became garrulous after a drink."",""hi"":""एक ड्रिंक के बाद वह बातूनी हो गया।""}]"
"07/07/2026","Haughty","Haughty","arrogantly superior and disdainful","घमंडी / अभिमानी","adjective","/ˈhɔːti/","/ˈहॉटी/","arrogant, proud","humble, modest","[{""en"":""She gave him a haughty look."",""hi"":""उसने उसे एक घमंडी लुक दिया।""}]"
"07/08/2026","Inevitable","Inevitable","certain to happen; unavoidable","अपरिहार्य / अवश्यभावी","adjective","/ɪnˈɛvɪtəbəl/","/इनेविटबल/","unavoidable, certain","avoidable, uncertain","[{""en"":""Change is inevitable."",""hi"":""परिवर्तन अपरिहार्य है।""}]"
"07/09/2026","Jovial","Jovial","cheerful and friendly","उल्लासपूर्ण / हंसमुख","adjective","/ˈdʒoʊviəl/","/ˈजोवियल/","cheerful, happy","gloomy, miserable","[{""en"":""He was in a jovial mood."",""hi"":""वह हंसमुख मिजाज में था।""}]"
"7/10/2026","Lucid","Lucid","expressed clearly; easy to understand","स्पष्ट / साफ","adjective","/ˈluːsɪd/","/ˈलूसिड/","clear, understandable","confusing, vague","[{""en"":""The explanation was lucid."",""hi"":""स्पष्टीकरण बिल्कुल स्पष्ट था।""}]"
"7/11/2026","Mitigate","Mitigate","make less severe, serious, or painful","कम करना / शांत करना","verb","/ˈmɪtɪɡeɪt/","/ˈमिटिगेट/","reduce, alleviate","aggravate, intensify","[{""en"":""We can mitigate the risks."",""hi"":""हम जोखिमों को कम कर सकते हैं।""}]"
"7/12/2026","Nefarious","Nefarious","wicked or criminal","कुटिल / दुष्ट","adjective","/nɪˈfɛəriəs/","/निफ़ैरियस/","wicked, evil","admirable, good","[{""en"":""They hatched a nefarious plot."",""hi"":""उन्होंने एक कुटिल साजिश रची।""}]"
"7/13/2026","Obsolete","Obsolete","no longer produced or used; out of date","अप्रचलित / पुराना","adjective","/ˈɒbsəliːt/","/ˈऑब्सलीट/","outdated, ancient","modern, current","[{""en"":""This software is obsolete."",""hi"":""यह सॉफ़्टवेयर अप्रचलित हो चुका है।""}]"
"7/14/2026","Pragmatic","Pragmatic","dealing with things sensibly and realistically","व्यावहारिक","adjective","/præɡˈmætɪk/","/प्रैगमैटिक/","practical, realistic","idealistic, impractical","[{""en"":""We need a pragmatic approach."",""hi"":""हमें व्यावहारिक दृष्टिकोण की आवश्यकता है।""}]"
"7/15/2026","Quixotic","Quixotic","exceedingly idealistic; unrealistic and impractical","आदर्शवादी / काल्पनिक","adjective","/kwɪkˈsɒtɪk/","/क्विकज़ॉटिक/","idealistic, impractical","realistic, practical","[{""en"":""It was a quixotic project."",""hi"":""यह एक काल्पनिक परियोजना थी।""}]"
"7/16/2026","Redundant","Redundant","no longer needed or useful; superfluous","अनावश्यक / फालतू","adjective","/rɪˈdʌndənt/","/रिडन्डन्ट/","superfluous, extra","essential, necessary","[{""en"":""This word is redundant here."",""hi"":""यह शब्द यहाँ अनावश्यक है।""}]"
"7/17/2026","Sagacious","Sagacious","having or showing keen mental discernment and good judgment","बुद्धिमान / चतुर","adjective","/səˈɡeɪʃəs/","/सगैशस/","wise, clever","foolish, ignorant","[{""en"":""He offered sagacious advice."",""hi"":""उन्होंने बुद्धिमानी भरी सलाह दी।""}]"
"7/18/2026","Taciturn","Taciturn","reserved or uncommunicative in speech; saying little","अल्पभाषी / मौन रहने वाला","adjective","/ˈtæsɪtɜːrn/","/ˈटैसिटर्न/","quiet, reserved","talkative, loquacious","[{""en"":""He was a taciturn man."",""hi"":""वह एक अल्पभाषी व्यक्ति था।""}]"
"7/19/2026","Ultimate","Ultimate","being or happening at the end of a process; final","अंतिम / परम","adjective","/ˈʌltɪmət/","/ˈअल्टिमेट/","final, supreme","initial, first","[{""en"":""This is our ultimate goal."",""hi"":""यह हमारा अंतिम लक्ष्य है।""}]"
"7/20/2026","Venerate","Venerate","regard with great respect; revere","सम्मानित करना / आदर करना","verb","/ˈvɛnəreɪt/","/ˈवेनरेट/","revere, respect","despise, disrespect","[{""en"":""They venerate their ancestors."",""hi"":""वे अपने पूर्वजों का आदर करते हैं।""}]"
"7/21/2026","Wary","Wary","feeling or showing caution about possible dangers or problems","सावधान / चौकन्ना","adjective","/ˈwɛəri/","/ˈवेअरी/","cautious, careful","careless, reckless","[{""en"":""Be wary of strangers."",""hi"":""अजनबियों से सावधान रहें।""}]"
"7/22/2026","Zeal","Zeal","great energy or enthusiasm in pursuit of a cause or an objective","उत्साह / उमंग","noun","/ziːl/","/ज़ील/","enthusiasm, passion","apathy, indifference","[{""en"":""She worked with great zeal."",""hi"":""उसने बड़े उत्साह से काम किया।""}]"
"7/23/2026","Aesthetic","Aesthetic","concerned with beauty or the appreciation of beauty","सौंदर्यशास्त्र संबंधी / कलात्मक","adjective","/iːsˈθɛtɪk/","/ईस्थेटिक/","artistic, beautiful","ugly, unattractive","[{""en"":""The building has aesthetic appeal."",""hi"":""इमारत में कलात्मक आकर्षण है।""}]"
"7/24/2026","Belligerent","Belligerent","hostile and aggressive","लड़ाकू / युद्धप्रिय","adjective","/bəˈlɪdʒərənt/","/बलिजरन्ट/","hostile, aggressive","peaceful, friendly","[{""en"":""He has a belligerent tone."",""hi"":""उसका लहजा लड़ाकू है।""}]"
"7/25/2026","Cognitive","Cognitive","relating to cognition (the mental action of acquiring knowledge)","संज्ञानात्मक / मानसिक","adjective","/ˈkɒɡnɪtɪv/","/ˈकॉग्निटिव/","mental, intellectual","physical","[{""en"":""Cognitive skills develop early."",""hi"":""संज्ञानात्मक कौशल का विकास जल्दी होता है।""}]"
"7/26/2026","Decorum","Decorum","behavior in keeping with good taste and propriety","शिष्टाचार / शालीनता","noun","/dɪˈkɔːrəm/","/डिकोरम/","propriety, etiquette","impropriety, rudeness","[{""en"":""You must maintain decorum here."",""hi"":""आपको यहाँ शालीनता बनाए रखनी चाहिए।""}]"
"7/27/2026","Exuberant","Exuberant","filled with or characterized by a lively energy and excitement","ऊर्जावान / प्रफुल्लित","adjective","/ɪɡˈzjuːbərənt/","/इग्ज़्यूबरन्ट/","energetic, joyful","gloomy, depressed","[{""en"":""The crowd was exuberant."",""hi"":""भीड़ ऊर्जावान और प्रफुल्लित थी।""}]"
"7/28/2026","Facetious","Facetious","treating serious issues with deliberately inappropriate humor","हास्यकर / मजाकिया","adjective","/fəˈsiːʃəs/","/फ़सीशस/","humorous, flippant","serious, solemn","[{""en"":""Do not be facetious right now."",""hi"":""इस समय मजाकिया मत बनो।""}]"
"7/29/2026","Gregarious","Gregarious","fond of company; sociable","मिलनसार / सामाजिक","adjective","/ɡrɪˈɡɛəriəs/","/ग्रिगैरियस/","sociable, friendly","unsociable, introverted","[{""en"":""She is a gregarious person."",""hi"":""वह एक मिलनसार व्यक्ति है।""}]"
"7/30/2026","Impetuous","Impetuous","acting or done quickly and without thought or care","अविवेकी / जल्दबाज़","adjective","/ɪmˈpɛtʃuəs/","/इम्पेट्युअस/","impulsive, rash","cautious, thoughtful","[{""en"":""He made an impetuous decision."",""hi"":""उसने एक जल्दबाजी भरा निर्णय लिया।""}]"
"7/31/2026","Lethargic","Lethargic","affected by lethargy; sluggish and apathetic","सुस्त / आलसी","adjective","/ləˈθɑːrdʒɪk/","/लथार्जिक/","sluggish, lazy","energetic, active","[{""en"":""I felt lethargic all day."",""hi"":""मुझे पूरे दिन सुस्ती महसूस हुई।""}]"
"08/01/2026","Magnanimous","Magnanimous","generous or forgiving, especially toward a rival","उदार / महानुभाव","adjective","/mæɡˈnænɪməs/","/मैग्नेनिमस/","generous, forgiving","selfish, petty","[{""en"":""She was magnanimous in victory."",""hi"":""वह जीत में उदार थी।""}]"
"08/02/2026","Nostalgia","Nostalgia","a sentimental longing for the past","अतीत की याद / पुरानी यादें","noun","/nɒˈstældʒə/","/नॉस्टैल्जिया/","homesickness, longing","indifference","[{""en"":""The music filled him with nostalgia."",""hi"":""संगीत ने उसे पुरानी यादों से भर दिया।""}]"
"08/03/2026","Omniscient","Omniscient","knowing everything","सर्वज्ञ / सब कुछ जानने वाला","adjective","/ɒmˈnɪsiənt/","/ऑम्निशियन्ट/","all-knowing, wise","ignorant","[{""en"":""The narrator is omniscient."",""hi"":""कथावाचक सर्वज्ञ है।""}]"
"08/04/2026","Paradox","Paradox","a seemingly absurd or self-contradictory statement","विरोधाभास","noun","/ˈpærədɒks/","/ˈपैरडॉक्स/","contradiction, puzzle","certainty, consistency","[{""en"":""It is a strange paradox."",""hi"":""यह एक अजीब विरोधाभास है।""}]"
"08/05/2026","Rejuvenate","Rejuvenate","make someone or something look or feel younger, fresher, or more lively","कायाकल्प करना / नया करना","verb","/rɪˈdʒuːvəneɪt/","/रिजुविनेट/","refresh, revive","damage, ruin","[{""en"":""The spa will rejuvenate you."",""hi"":""स्पा आपका कायाकल्प कर देगा।""}]"
"08/06/2026","Surreptitious","Surreptitious","kept secret, especially because it would not be approved of","गुप्त / छिपकर किया गया","adjective","/ˌsʌrəpˈtɪʃəs/","/सरप्टिशस/","secret, stealthy","open, blatant","[{""en"":""They shared a surreptitious glance."",""hi"":""उन्होंने आपस में एक गुप्त नज़र साझा की।""}]"
"08/07/2026","Tenacious","Tenacious","tending to keep a firm hold of something; clinging or stubborn","दृढ़ / अटल","adjective","/təˈneɪʃəs/","/टनेशस/","persistent, stubborn","weak, irresolute","[{""en"":""She is a tenacious negotiator."",""hi"":""वह एक दृढ़ वार्ताकार है।""}]"
"08/08/2026","Unanimous","Unanimous","fully in agreement","सर्वसम्मत / एकमत","adjective","/juːˈnænɪməs/","/यूनेनिमस/","united, agreed","divided, split","[{""en"":""The decision was unanimous."",""hi"":""निर्णय सर्वसम्मत था।""}]"
"08/09/2026","Vindicate","Vindicate","clear someone of blame or suspicion","निर्दोष ठहराना / सही साबित करना","verb","/ˈvɪndɪkeɪt/","/ˈविंडिकेट/","acquit, clear","blame, convict","[{""en"":""The evidence will vindicate him."",""hi"":""सबूत उसे निर्दोष साबित करेंगे।""}]"
"8/10/2026","Whimsical","Whimsical","playfully quaint or fanciful, especially in an appealing and amusing way","मनमौजी / सनकी","adjective","/ˈwɪmzɪkəl/","/ˈविम्ज़िकल/","playful, fanciful","serious, practical","[{""en"":""She has a whimsical sense of humor."",""hi"":""उसका मज़ाक का अंदाज़ मनमौजी है।""}]"
